% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.

@RELATION parity5+5
@ATTRIBUTE Bit_1 {0,1}
@ATTRIBUTE Bit_2 {0,1}
@ATTRIBUTE Bit_3 {0,1}
@ATTRIBUTE Bit_4 {0,1}
@ATTRIBUTE Bit_5 {0,1}
@ATTRIBUTE Bit_6 {0,1}
@ATTRIBUTE Bit_7 {0,1}
@ATTRIBUTE Bit_8 {0,1}
@ATTRIBUTE Bit_9 {0,1}
@ATTRIBUTE Bit_10 {0,1}
@ATTRIBUTE class {0,1}
@DATA
1,1,0,1,1,0,1,0,1,0,0
0,0,0,1,1,0,0,0,0,1,1
0,1,0,0,1,1,0,1,0,1,1
0,1,0,0,1,1,1,0,0,1,0
1,1,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,1,1,1,0,1
1,0,0,1,1,1,0,0,0,0,0
1,0,0,1,1,1,1,1,0,0,1
0,0,1,0,1,0,1,0,0,1,1
1,1,1,1,0,1,0,1,1,0,1
0,0,0,0,1,1,0,1,0,1,0
0,1,1,1,1,0,1,1,0,0,0
0,0,1,1,0,0,0,1,1,1,1
1,0,1,1,1,1,1,1,0,1,0
0,1,0,0,1,1,1,1,1,1,1
1,0,1,1,1,0,1,0,0,0,0
1,0,1,1,1,0,1,1,1,1,1
1,0,1,1,0,0,0,0,0,1,0
0,0,1,1,0,1,1,0,1,1,1
0,1,1,0,1,0,1,0,1,0,0
0,0,0,1,0,1,0,1,1,0,1
0,1,0,1,0,1,1,1,0,1,0
0,0,0,0,0,1,0,0,0,0,1
0,1,0,1,0,1,1,1,0,0,0
0,0,1,1,0,1,1,0,0,1,1
0,1,0,0,0,0,0,0,1,0,1
1,0,0,1,1,0,0,0,1,0,1
1,1,0,0,0,0,0,1,0,1,0
1,1,1,0,1,0,1,1,0,1,1
1,1,0,1,1,0,1,1,0,1,1
1,0,1,1,1,0,0,0,0,1,0
1,0,1,0,0,1,1,1,1,0,1
1,0,0,0,1,1,1,1,0,1,0
1,0,0,0,1,0,1,1,1,0,1
1,1,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,0,1,1,0
1,0,1,0,1,0,1,0,1,0,1
0,0,1,0,1,1,1,1,0,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,1,1,0,0,1,1,1
1,1,1,1,0,1,1,1,1,1,1
0,0,1,0,0,1,1,1,1,0,1
1,1,0,1,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,1
0,1,1,0,1,0,0,0,1,0,0
0,1,0,1,1,0,0,0,0,1,0
0,1,1,1,0,0,0,1,0,1,0
0,1,1,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,1,0,0
0,1,1,0,1,0,1,0,0,1,0
1,1,0,1,0,1,1,0,0,1,1
0,1,1,0,1,1,0,0,0,1,1
1,0,1,0,0,0,0,1,0,0,0
1,1,0,1,1,1,1,0,0,0,1
1,0,0,1,1,1,1,1,0,1,1
1,1,0,0,0,0,0,1,1,1,0
1,0,0,0,0,1,0,0,0,1,1
1,0,1,1,0,0,1,1,0,1,1
1,0,0,1,1,1,1,0,0,1,0
1,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,0,0,1,0,1,1
1,0,1,1,1,1,1,1,1,1,0
0,0,0,1,1,1,0,1,1,0,1
1,1,1,1,1,1,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0
0,1,0,1,0,0,1,1,0,0,1
0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,1,1,0,0,1
0,0,1,1,1,0,0,1,1,1,1
1,1,0,0,0,1,0,1,1,1,1
0,1,1,1,1,1,0,0,0,0,0
1,0,1,1,0,1,0,1,0,1,0
1,0,1,1,0,1,0,0,1,0,1
0,0,1,1,0,0,1,1,0,1,1
0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,1,0,0,0,0
0,1,0,1,0,0,1,0,1,1,0
0,0,1,1,1,1,0,1,0,0,0
0,1,0,0,1,1,0,0,1,1,0
0,1,0,0,0,0,1,0,1,1,1
0,1,1,1,0,0,1,0,1,1,1
0,0,1,1,0,0,0,0,1,0,0
0,0,1,1,0,1,0,1,0,0,0
0,0,1,1,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,1,1,0
0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,1,1,1,0,0,0,1
0,1,1,1,0,1,0,0,0,0,0
1,0,1,0,0,1,0,1,1,0,1
1,1,0,1,0,1,0,0,0,1,1
1,1,0,0,1,0,1,0,1,0,1
1,1,1,1,1,0,0,0,0,1,1
0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,1,1,1
0,1,1,1,1,0,1,0,0,1,1
1,0,0,0,1,0,0,1,0,0,1
0,1,1,1,0,1,0,1,0,1,1
0,0,0,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,0,1,1
1,0,1,1,0,1,0,0,1,1,1
1,0,1,0,1,0,0,0,1,1,1
0,0,1,1,1,0,1,0,1,1,0
0,1,1,1,0,0,0,1,1,0,0
1,0,0,1,0,1,1,1,1,1,1
0,0,0,1,1,0,1,1,0,1,0
1,0,1,1,0,1,1,0,0,1,1
1,0,1,1,1,1,1,1,1,0,0
0,1,1,1,0,0,0,0,0,1,1
1,1,0,0,1,1,1,0,0,0,0
1,0,0,1,1,0,1,0,0,1,1
1,0,0,0,0,1,1,0,0,1,1
1,1,0,0,1,1,0,1,0,1,1
1,0,1,0,1,0,0,1,0,1,0
0,0,0,1,0,0,0,1,1,1,0
1,0,0,1,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0,1,1,1
1,1,1,0,1,1,0,1,0,1,0
0,1,1,1,1,1,0,1,1,1,1
0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,1,0
1,0,0,0,0,1,0,1,0,0,0
1,1,1,0,0,0,0,1,0,1,1
0,1,1,1,0,0,0,0,1,1,1
1,0,0,1,1,0,0,1,1,0,0
1,1,0,0,1,0,0,0,1,1,1
0,1,1,0,0,0,1,1,0,1,1
1,1,1,0,1,0,1,0,0,1,0
0,0,1,1,0,1,1,1,1,1,0
0,1,1,0,0,1,1,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0
0,1,1,1,0,0,0,1,1,1,0
0,1,1,0,0,1,1,1,1,1,0
0,0,0,1,0,0,0,0,0,0,1
0,0,1,1,0,1,0,0,0,0,1
1,1,0,0,1,1,0,1,1,1,1
0,0,0,0,1,0,1,0,0,1,0
1,1,1,0,0,0,0,1,0,0,1
0,0,1,0,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,0
1,0,1,1,0,0,1,0,0,0,0
1,0,0,1,1,1,0,0,1,1,0
0,0,0,0,1,0,0,1,0,0,1
1,1,1,1,0,1,1,1,0,1,1
0,1,1,0,1,1,0,0,0,0,1
1,1,1,0,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,1,0,0
0,1,1,0,0,1,0,1,1,0,0
1,1,0,1,0,0,0,1,1,0,1
0,1,0,1,0,1,1,1,1,1,0
0,0,1,1,0,1,0,1,1,1,0
0,1,0,1,1,1,0,0,0,0,1
0,1,1,0,1,0,1,1,0,0,1
1,0,0,0,1,1,0,1,1,0,0
0,0,0,0,0,1,1,0,0,0,1
1,1,1,1,1,0,0,1,1,0,0
1,1,0,1,0,0,0,1,0,0,1
0,0,1,0,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,1,1,1
0,1,0,0,0,0,1,1,0,1,0
1,1,0,1,0,1,0,0,1,0,1
1,1,1,0,1,1,1,0,0,0,1
0,0,1,0,1,1,1,0,0,1,0
0,0,0,0,0,1,1,1,1,1,0
1,1,1,1,0,0,0,1,0,1,0
0,1,1,1,1,1,1,0,0,0,0
0,0,0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,0,1,0,0,0
1,1,0,1,1,1,1,1,0,0,0
0,0,0,0,1,1,0,0,0,1,1
1,1,0,0,1,0,0,0,0,1,1
1,1,0,0,1,0,1,0,0,0,1
1,1,0,1,0,1,0,1,1,1,0
1,0,0,1,1,0,1,1,1,0,0
0,1,1,0,0,1,1,1,0,1,0
1,0,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,1,0,0,0,1
1,0,0,1,1,1,1,1,1,1,1
0,0,1,0,1,1,0,0,1,1,0
1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,1,1,0,1,0,0
0,1,0,0,1,0,1,0,0,1,1
1,0,0,0,0,1,1,0,1,1,1
0,1,0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,1,0,1,0,0
1,0,1,0,0,0,1,0,1,0,1
1,0,1,1,1,0,1,0,1,1,0
0,1,0,0,1,1,1,0,1,1,0
0,0,1,1,0,0,1,0,1,1,0
1,0,0,0,1,0,0,1,0,1,1
0,0,1,1,0,1,1,0,0,0,1
1,0,0,1,0,0,1,1,1,0,0
0,1,1,1,0,1,1,1,1,1,1
1,0,0,1,0,1,0,0,1,1,0
1,1,0,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,1,0,0,1,1,1,1,1,0,1
0,0,0,1,0,0,1,0,1,1,1
0,1,0,1,1,1,0,1,1,0,0
1,0,0,1,0,0,1,0,1,0,1
0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,1,1,1,0,1,0,0
1,0,0,1,1,1,1,0,1,1,0
0,1,1,0,0,1,0,0,0,1,1
1,1,0,0,1,1,0,0,1,1,0
0,0,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,1,1,1
1,1,0,0,0,0,0,0,0,1,1
0,1,0,1,1,1,0,0,1,0,1
0,0,1,1,0,1,1,1,0,1,0
1,0,1,0,1,1,1,0,0,0,0
1,1,1,0,0,1,0,0,0,0,1
0,1,0,1,1,0,1,0,1,1,0
0,1,1,1,1,1,0,0,1,1,0
0,1,1,0,0,0,1,1,0,0,1
1,1,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,1,1,1,1,1
0,1,1,1,1,1,1,1,0,1,1
0,0,0,1,0,1,1,1,0,0,1
0,0,1,1,1,1,0,0,0,0,1
1,1,1,0,0,0,0,1,1,1,1
0,1,0,1,0,0,0,0,1,1,0
1,0,1,1,0,0,1,1,1,1,1
0,1,0,0,0,0,0,1,0,1,0
0,0,0,1,1,1,1,0,0,1,0
0,0,1,0,0,1,0,0,0,1,0
1,0,1,1,0,1,0,1,1,1,0
0,1,1,1,1,0,1,0,1,1,1
0,0,1,0,0,1,0,1,0,0,1
1,0,1,0,0,0,1,1,1,0,0
1,0,0,0,1,1,1,0,0,1,1
0,1,0,0,0,1,0,0,1,0,0
0,1,0,1,0,0,0,1,0,1,1
1,0,1,1,0,0,0,1,1,0,1
1,0,0,0,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,1,1,0
0,0,0,1,1,0,0,1,0,0,0
0,1,1,1,0,0,1,1,1,0,0
1,0,1,0,0,1,0,1,0,0,1
1,1,0,1,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,0,0,0,1,0
1,1,0,0,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,1,1,1,1,1,0,0
1,0,0,1,1,1,0,1,0,0,1
1,1,1,1,0,1,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0
0,1,1,1,0,1,0,0,0,1,0
1,0,0,0,0,1,1,1,0,1,0
1,1,0,1,1,1,0,1,0,1,0
0,1,1,0,0,0,0,1,0,0,1
0,1,1,1,0,1,0,0,1,1,0
0,1,0,1,1,1,1,0,1,0,1
0,0,0,1,0,1,1,0,0,0,0
1,1,1,1,1,1,0,0,1,1,0
0,1,0,1,1,0,0,0,1,0,0
0,0,1,1,1,0,0,0,1,1,0
0,0,0,1,0,1,0,1,1,1,1
0,1,0,0,0,0,1,1,1,0,0
1,0,0,0,0,0,1,1,0,1,1
1,0,1,0,0,1,1,0,1,1,0
0,1,0,1,0,1,0,0,1,0,1
1,0,1,1,0,1,1,0,1,0,1
1,1,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,1,1
0,0,1,1,1,0,1,0,0,1,0
1,1,1,1,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,1,0,0
1,0,1,0,1,1,1,1,1,0,1
0,1,1,1,1,1,1,0,0,1,0
1,1,1,0,1,1,1,1,0,0,0
1,1,0,1,0,1,1,0,0,0,1
0,1,0,1,1,0,0,1,0,1,1
1,0,1,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,1,0,0,0
0,1,1,1,1,1,1,1,1,0,1
1,1,0,1,1,1,0,1,0,0,0
1,1,1,1,0,0,0,1,1,1,0
0,0,1,0,1,0,1,1,0,1,0
0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,1,1,1,1,0,1,1
0,1,0,1,1,1,1,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0
0,1,1,1,0,1,0,1,0,0,1
1,1,0,0,1,0,1,1,1,1,0
1,0,0,0,0,0,1,1,1,1,1
1,0,1,1,0,1,1,1,1,0,0
1,1,0,1,1,0,0,1,1,1,1
1,1,1,0,0,0,1,1,0,0,1
1,0,1,1,0,1,0,0,0,1,1
0,0,0,0,1,0,0,1,1,0,1
0,1,1,0,1,0,1,0,1,1,0
0,1,0,0,1,0,1,1,0,1,0
0,1,0,0,0,0,0,0,1,1,1
0,1,0,1,1,0,0,1,1,0,1
0,1,1,0,0,0,1,0,1,1,0
0,0,0,1,1,1,0,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,1
0,0,1,0,1,1,1,1,0,1,1
1,0,1,0,0,1,0,1,1,1,1
0,1,0,0,0,0,0,1,1,0,0
1,1,1,1,0,1,0,0,0,0,0
1,0,0,0,0,1,1,0,1,0,1
0,0,1,0,0,1,1,0,0,1,0
0,1,0,0,0,0,0,1,0,0,0
1,1,0,1,1,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0
1,0,1,1,1,1,1,0,0,0,1
1,1,1,0,0,1,0,1,1,1,0
0,0,0,0,1,1,1,0,1,1,1
0,0,1,1,0,1,0,1,0,1,0
1,0,0,1,1,0,0,1,1,1,0
0,1,1,0,1,0,0,1,1,1,1
0,1,1,0,1,1,0,1,1,0,0
1,1,0,0,0,1,1,0,1,1,0
0,1,0,0,1,1,0,1,1,0,1
1,1,1,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,0,0,0
1,0,1,0,1,1,0,1,1,0,1
0,0,0,0,1,1,0,1,0,0,0
1,1,1,1,1,0,1,0,0,0,1
1,1,1,0,0,0,0,0,0,1,0
1,0,0,1,1,1,0,1,1,0,1
1,1,0,1,1,0,1,0,0,0,0
1,1,0,0,0,0,1,1,1,1,0
0,0,0,0,1,0,1,1,1,0,1
1,1,0,0,1,1,1,0,0,1,0
1,1,0,0,1,0,1,0,1,1,1
1,0,0,1,0,1,0,1,0,1,1
1,0,0,1,0,0,1,0,0,1,1
1,0,1,0,1,0,1,1,0,1,0
0,1,0,0,0,1,0,1,1,0,1
0,0,1,0,1,1,1,0,0,0,0
0,1,1,1,0,1,0,0,1,0,0
0,0,1,1,0,1,1,1,0,0,0
0,0,1,0,0,0,0,0,0,1,1
0,0,0,1,1,1,1,0,1,1,0
0,1,0,1,0,1,1,0,1,0,1
0,0,0,0,0,1,1,0,1,0,1
0,0,0,1,1,1,0,1,0,0,1
1,0,0,1,0,0,0,1,1,0,0
0,0,1,1,1,1,1,0,1,1,1
1,0,0,0,1,1,1,1,0,0,0
0,1,1,1,0,1,1,0,0,1,0
1,1,0,0,0,1,1,1,1,0,1
0,1,1,0,0,0,1,1,1,1,1
1,0,0,1,1,1,1,0,1,0,0
1,1,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,1,0
0,1,1,1,1,0,1,1,1,1,0
1,0,0,0,0,1,1,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1
0,1,1,0,0,0,1,0,0,0,0
0,0,1,0,1,0,1,0,1,1,1
0,0,0,0,1,0,1,1,0,0,1
0,0,0,0,0,1,1,1,0,0,0
1,0,1,1,1,1,1,0,1,0,1
1,1,0,1,1,1,0,1,1,0,0
1,1,1,1,1,0,0,1,0,0,0
1,0,1,0,0,1,1,1,1,1,1
0,1,0,1,1,0,0,1,1,1,1
1,0,0,0,1,1,0,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0
1,0,0,1,1,0,0,1,0,0,0
1,1,0,1,0,1,1,0,1,0,1
1,0,0,1,1,1,0,0,1,0,0
1,1,0,1,0,1,0,1,0,0,0
0,1,1,0,1,0,1,0,0,0,0
0,1,0,1,0,1,1,0,0,0,1
1,1,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,1,0,1,0
1,1,1,1,0,1,1,0,1,0,0
0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,0,1,1,1,0,1
1,1,1,0,1,1,1,0,1,1,1
0,0,1,0,0,0,1,1,0,1,0
1,0,0,1,0,1,1,0,1,0,0
1,0,0,1,0,1,0,1,0,0,1
0,1,1,1,0,1,1,1,0,1,1
1,0,0,0,0,1,0,0,1,1,1
1,0,1,1,0,0,0,0,1,1,0
1,0,1,1,1,0,1,1,0,0,1
0,1,0,1,1,1,1,0,0,1,1
0,0,0,1,0,0,1,1,1,0,0
1,1,1,0,1,0,1,0,1,1,0
1,0,0,1,1,0,0,1,0,1,0
0,0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,1,0
0,0,1,0,0,0,1,0,0,0,1
1,0,1,0,1,1,0,1,1,1,1
1,1,1,0,1,0,0,0,1,1,0
0,1,1,0,1,1,0,1,0,0,0
0,0,0,1,1,0,1,0,1,0,1
1,1,0,1,1,1,1,1,1,0,0
1,1,1,1,0,0,1,1,0,0,0
0,0,0,1,1,0,0,1,1,0,0
1,1,0,1,1,0,1,1,1,0,1
0,0,1,1,1,0,1,1,1,1,1
0,1,0,1,1,1,1,1,1,1,0
0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,1,1,0,1
0,1,1,0,0,1,1,1,1,0,0
1,1,0,0,0,1,1,1,0,1,1
1,0,1,1,1,0,0,1,0,0,1
1,0,0,1,0,1,0,1,1,0,1
1,0,0,1,0,1,1,0,0,1,0
1,0,1,0,1,1,1,1,0,0,1
1,1,1,0,1,1,0,0,1,1,1
0,0,0,0,0,0,0,1,1,0,1
1,1,0,1,0,1,0,0,1,1,1
1,0,1,0,0,0,0,0,1,0,1
0,1,0,0,0,1,1,0,0,1,0
0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1,0,1,0
1,1,0,0,0,1,1,1,1,1,1
1,0,1,1,0,0,1,0,1,0,0
0,0,1,1,1,0,1,0,1,0,0
1,0,1,1,1,0,0,1,1,0,1
1,1,1,1,1,1,0,0,1,0,0
1,0,0,0,0,1,0,1,1,0,0
1,0,0,0,1,1,0,0,0,1,1
0,0,0,1,0,0,0,0,1,1,1
0,0,1,0,0,1,0,1,1,0,1
1,0,0,0,0,0,0,1,1,0,1
1,0,1,0,0,1,0,1,0,1,1
1,0,1,0,0,1,1,0,0,1,0
1,0,1,0,0,0,1,1,1,1,0
1,1,1,0,1,0,0,0,0,1,0
0,1,0,0,1,1,1,1,0,1,1
0,0,1,1,1,1,0,1,1,1,0
0,1,1,0,0,1,1,0,1,0,1
0,1,1,1,0,0,1,0,0,1,1
0,1,1,0,0,1,0,0,1,0,1
0,1,1,0,0,0,1,0,1,0,0
1,1,1,0,0,1,0,0,1,0,1
0,1,0,1,0,0,1,1,1,0,1
1,0,1,0,1,0,1,1,1,1,0
1,1,1,0,1,1,1,0,1,0,1
0,0,0,1,0,0,1,1,1,1,0
1,1,1,1,1,0,0,0,1,0,1
1,1,0,0,1,0,1,1,0,0,0
0,0,1,1,1,1,1,1,1,0,0
1,0,0,1,0,0,0,1,0,1,0
0,0,0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,0,1,0,1,1
1,0,0,0,1,0,1,0,1,1,0
0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0,1,1,0,0,1,0
1,1,1,1,0,1,1,1,1,0,1
1,0,0,0,0,0,0,1,1,1,1
1,1,1,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,0,0,0,1
0,0,0,0,1,1,1,0,1,0,1
0,1,1,1,0,0,1,1,1,1,0
0,0,1,0,1,1,0,0,0,1,0
0,1,0,0,0,1,0,0,1,1,0
0,0,0,1,0,0,1,0,0,1,1
1,1,0,0,1,1,0,0,1,0,0
0,0,1,1,0,0,0,0,1,1,0
0,0,1,1,1,0,0,1,0,1,1
0,1,0,1,1,0,1,0,0,1,0
1,1,1,1,0,1,0,1,0,1,1
0,1,1,1,1,0,0,0,1,1,1
0,1,1,0,0,0,1,1,1,0,1
0,0,1,0,1,1,1,0,1,0,0
0,0,1,0,1,0,1,0,1,0,1
1,0,1,1,1,1,0,1,0,0,0
1,1,1,1,1,0,1,0,1,0,1
1,1,0,0,0,0,0,0,1,1,1
1,1,1,0,0,1,1,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0
0,0,0,1,0,0,0,1,1,0,0
0,1,0,1,1,1,1,1,0,1,0
1,0,0,0,1,0,1,0,0,1,0
1,1,0,0,1,1,0,1,1,0,1
1,0,1,0,1,1,1,0,0,1,0
0,1,1,0,0,0,0,0,1,1,0
1,0,1,1,0,1,0,1,1,0,0
1,0,0,0,1,0,1,1,0,0,1
1,1,1,0,1,1,0,0,1,0,1
0,1,0,1,1,0,0,0,1,1,0
0,1,0,0,1,1,1,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0
0,0,0,1,0,1,1,1,1,0,1
1,0,0,1,1,1,0,1,0,1,1
0,0,0,0,1,0,1,0,1,1,0
0,1,1,0,1,0,1,1,1,0,1
0,1,1,1,1,0,0,1,0,1,0
0,1,1,1,0,1,0,1,1,0,1
0,0,0,1,1,1,1,1,0,0,1
0,1,1,0,1,0,1,1,1,1,1
0,0,1,0,1,0,1,0,0,0,1
1,1,1,1,1,1,0,1,0,0,1
0,1,0,0,0,1,1,1,1,1,1
0,1,0,0,1,1,0,1,0,0,1
1,0,0,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,0
1,1,1,0,0,0,1,0,0,1,0
0,1,1,1,0,1,1,0,0,0,0
1,1,1,1,1,0,0,1,0,1,0
0,1,1,1,1,1,0,0,0,1,0
1,1,1,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1,0,0
0,0,1,0,1,1,0,1,1,0,1
0,1,0,0,1,0,0,0,1,1,1
0,1,0,0,1,1,0,0,1,0,0
1,1,0,0,1,1,1,0,1,0,0
0,1,0,0,1,0,1,1,1,0,0
